101233,32,Carbohydrates
101233,363,Calories
101233,13,Protein
101233,102,Salt
101233,7,Saturated_Fat
101233,22,Fat
5257356,34,Added_Sugar
5257356,35,Carbohydrates
5257356,253,Calories
5257356,5,Protein
5257356,01,Salt
5257356,3,Saturated_Fat
5257356,7,Fat
102539,75,Added_Sugar
102539,99,Carbohydrates
102539,1036,Calories
102539,15,Protein
102539,125,Salt
102539,35,Saturated_Fat
102539,67,Fat
99266,5,Carbohydrates
99266,330,Calories
99266,40,Protein
99266,124,Salt
99266,8,Saturated_Fat
99266,16,Fat
5702361,21,Added_Sugar
5702361,37,Carbohydrates
5702361,392,Calories
5702361,30,Protein
5702361,06,Salt
5702361,3,Saturated_Fat
5702361,13,Fat
102870,9,Added_Sugar
102870,50,Carbohydrates
102870,518,Calories
102870,44,Protein
102870,24,Salt
102870,8,Saturated_Fat
102870,18,Fat
103131,6,Added_Sugar
103131,14,Carbohydrates
103131,134,Calories
103131,6,Protein
103131,097,Salt
103131,2,Saturated_Fat
103131,6,Fat
95209,25,Added_Sugar
95209,40,Carbohydrates
95209,315,Calories
95209,4,Protein
95209,05,Salt
95209,10,Saturated_Fat
95209,18,Fat
95358,2,Added_Sugar
95358,38,Carbohydrates
95358,330,Calories
95358,23,Protein
95358,071,Salt
95358,2,Saturated_Fat
95358,10,Fat
99487,17,Added_Sugar
99487,18,Carbohydrates
99487,265,Calories
99487,3,Protein
99487,01,Salt
99487,12,Saturated_Fat
99487,20,Fat
99813,16,Added_Sugar
99813,69,Carbohydrates
99813,500,Calories
99813,29,Protein
99813,181,Salt
99813,2,Saturated_Fat
99813,14,Fat
96546,3,Added_Sugar
96546,4,Carbohydrates
96546,127,Calories
96546,26,Protein
96546,23,Salt
96546,1,Fat
93457,37,Carbohydrates
93457,640,Calories
93457,39,Protein
93457,424,Salt
93457,13,Saturated_Fat
93457,37,Fat
102635,4,Added_Sugar
102635,33,Carbohydrates
102635,288,Calories
102635,23,Protein
102635,36,Salt
102635,2,Saturated_Fat
102635,8,Fat
102705,2,Carbohydrates
102705,129,Calories
102705,19,Protein
102705,017,Salt
102705,2,Saturated_Fat
102705,5,Fat
97421,4,Added_Sugar
97421,8,Carbohydrates
97421,80,Calories
97421,3,Protein
97421,05,Salt
97421,2,Saturated_Fat
97421,4,Fat
96085,8,Added_Sugar
96085,9,Carbohydrates
96085,408,Calories
96085,56,Protein
96085,064,Salt
96085,7,Saturated_Fat
96085,17,Fat
4212826,17,Added_Sugar
4212826,55,Carbohydrates
4212826,267,Calories
4212826,7,Protein
4212826,14,Salt
4212826,1,Saturated_Fat
4212826,3,Fat
4421171,25,Added_Sugar
4421171,32,Carbohydrates
4421171,746,Calories
4421171,50,Protein
4421171,31,Salt
4421171,27,Saturated_Fat
4421171,47,Fat
102009,4,Added_Sugar
102009,9,Carbohydrates
102009,34,Calories
102009,1,Protein
102009,026,Salt
102009,1,Fat
5199401,21,Added_Sugar
5199401,37,Carbohydrates
5199401,240,Calories
5199401,3,Protein
5199401,06,Salt
5199401,5,Saturated_Fat
5199401,8,Fat
100696,6,Added_Sugar
100696,22,Carbohydrates
100696,168,Calories
100696,5,Protein
100696,049,Salt
100696,1,Saturated_Fat
100696,7,Fat
6220016,3,Added_Sugar
6220016,32,Carbohydrates
6220016,204,Calories
6220016,4,Protein
6220016,11,Salt
6220016,4,Saturated_Fat
